row ID;row m/z;row retention time;NPC#pathway;NPC#pathway Probability;NPC#superclass;NPC#superclass Probability;NPC#class;NPC#class Probability;ClassyFire#most specific class;ClassyFire#most specific class Probability;ClassyFire#level 5;ClassyFire#level 5 Probability;ClassyFire#subclass;ClassyFire#subclass Probability;ClassyFire#class;ClassyFire#class Probability;ClassyFire#superclass;ClassyFire#superclass probability;b4.mzML Peak area;b2.mzML Peak area;b3.mzML Peak area;MBCe0149.mzML Peak area;b1.mzML Peak area;MBCe0151.mzML Peak area;MBCe0150.mzML Peak area;MBCe0148.mzML Peak area;MBCe0152.mzML Peak area;MBCe0157.mzML Peak area;MBCe0156.mzML Peak area;MBCe0155.mzML Peak area;MBCe0158.mzML Peak area;MBCe0175.mzML Peak area;MBCe0154.mzML Peak area;MBCe0166.mzML Peak area;MBCe0174.mzML Peak area;MBCe0171.mzML Peak area;MBCe0169.mzML Peak area;MBCe0164.mzML Peak area;MBCe0159.mzML Peak area;MBCe0162.mzML Peak area;MBCe0167.mzML Peak area;MBCe0168.mzML Peak area;MBCe0165.mzML Peak area;MBCe0176.mzML Peak area;MBCe0182.mzML Peak area;MBCe0177.mzML Peak area;MBCe0180.mzML Peak area;MBCe0163.mzML Peak area;MBCe0181.mzML Peak area;MBCe0173.mzML Peak area;MBCe0185.mzML Peak area;MBCe0172.mzML Peak area;MBCe0184.mzML Peak area;MBCe0194.mzML Peak area;MBCe0178.mzML Peak area;MBCe0192.mzML Peak area;MBCe0183.mzML Peak area;MBCe0195.mzML Peak area;MBCe0211.mzML Peak area;MBCe0202.mzML Peak area;MBCe0197.mzML Peak area;MBCe0186.mzML Peak area;MBCe0193.mzML Peak area;MBCe0198.mzML Peak area;MBCe0200.mzML Peak area;MBCe0191.mzML Peak area;MBCe0212.mzML Peak area;MBCe0208.mzML Peak area;MBCe0204.mzML Peak area;MBCe0201.mzML Peak area;MBCe0196.mzML Peak area;MBCe0207.mzML Peak area;MBCe0203.mzML Peak area;MBCe0199.mzML Peak area;MBCe0216.mzML Peak area;MBCe0214.mzML Peak area;MBCe0217.mzML Peak area;MBCe0222.mzML Peak area;MBCe0205.mzML Peak area;MBCe0206.mzML Peak area;MBCe0209.mzML Peak area;MBCe0215.mzML Peak area;MBCe0227.mzML Peak area;MBCe0230.mzML Peak area;MBCe0221.mzML Peak area;MBCe0218.mzML Peak area;MBCe0219.mzML Peak area;MBCe0220.mzML Peak area;MBCe0225.mzML Peak area;MBCe0213.mzML Peak area;preblank.mzML Peak area;MBCe0235.mzML Peak area;MBCe0233.mzML Peak area;MBCe0228.mzML Peak area;MBCe0223.mzML Peak area;MBCe0226.mzML Peak area;MBCe0224.mzML Peak area;MBCe0232.mzML Peak area;MBCe0229.mzML Peak area;MBCe0236.mzML Peak area;MBCe0234.mzML Peak area;MBCe0237.mzML Peak area;MBCe0231.mzML Peak area;MBCe0210.mzML Peak area
2097;593.1918546;6.426358;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2100;577.2180271;6.430901;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2101;474.2595737;6.547306;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2103;363.2143758;6.437008;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;542.0728;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;252.05423;0;0;0
2104;453.1686359;6.4405174;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2105;573.1806562;6.4414134;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;401.01053;0;383.64212;462.7093;479.76236;410.50607;0;329.7999;375.1004;0;0;449.77023;783.8001;0;361.1917;291.60922;0;0;0;352.99582;335.65598;0;325.87527;292.47375;251.7251;303.24417;0;231.1911;391.11966;0;391.62006;504.4781;236.35027;185.998;386.9;0;218.19751;179.2972;316.60876;199.66315;480.08185;0;179.89098;253.95885;394.87823;284.98898;106.275925;0;0;343.7038;216.1212;179.02988;0;386.23276;585.4494;457.47382;478.30832;252.19351;301.85318;177.19876;360.7214;327.6218;318.56348;549.3443;310.25458;400.6258;309.79556;350.8566;829.02405;0;362.8781;412.38654;314.0956;287.15958;297.7348;340.01532;327.79474;341.4585;470.9745;358.34543;319.52866;352.36664;1363.339
2106;595.1625131;6.4425335;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;302.31696;0;308.69202;323.32452;368.90247;313.7236;0;0;301.5829;0;0;384.0046;496.7998;0;281.82065;0;0;0;0;230.76013;0;0;0;197.76843;200.52092;0;0;193.27162;0;247.81926;247.08505;0;168.4969;0;284.53827;0;160.51135;126.63531;216.62418;139.30649;327.7096;0;0;0;0;0;0;0;118.78044;0;0;0;0;267.8101;435.0023;336.7142;276.53314;0;256.99356;0;267.75278;0;231.36441;404.20712;229.63036;327.83905;225.73871;0;557.83264;0;281.78528;310.99008;0;187.62059;229.99664;0;243.21718;203.89034;281.79736;239.11163;187.19846;224.57521;620.4879
2107;617.1442737;6.4441376;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;0;0;0;124.095894;0;0;0;0;0;0;0;129.72597;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;92.11088;0;0;0;0;0;0;0;0;161.60994;122.41631;107.447205;0;0;0;0;0;93.53515;170.07742;0;0;0;0;174.34079;0;121.55617;0;0;0;0;0;0;0;0;97.72923;0;0;0
2108;476.2767011;6.4471993;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;109.98707;0;0;0;0;74.93727;0;187.75395;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;87.088615;0;0;0;0;0;0;0;224.40613;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;510.49475
2109;540.3068267;6.5166197;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
