row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,b4.mzML Peak area,b2.mzML Peak area,b3.mzML Peak area,MBCe0151.mzML Peak area,MBCe0152.mzML Peak area,b1.mzML Peak area,MBCe0148.mzML Peak area,MBCe0149.mzML Peak area,MBCe0175.mzML Peak area,MBCe0155.mzML Peak area,MBCe0166.mzML Peak area,MBCe0156.mzML Peak area,MBCe0150.mzML Peak area,MBCe0157.mzML Peak area,MBCe0154.mzML Peak area,MBCe0164.mzML Peak area,MBCe0174.mzML Peak area,MBCe0171.mzML Peak area,MBCe0168.mzML Peak area,MBCe0173.mzML Peak area,MBCe0167.mzML Peak area,MBCe0169.mzML Peak area,MBCe0159.mzML Peak area,MBCe0158.mzML Peak area,MBCe0181.mzML Peak area,MBCe0172.mzML Peak area,MBCe0178.mzML Peak area,MBCe0197.mzML Peak area,MBCe0162.mzML Peak area,MBCe0163.mzML Peak area,MBCe0165.mzML Peak area,MBCe0177.mzML Peak area,MBCe0198.mzML Peak area,MBCe0183.mzML Peak area,MBCe0185.mzML Peak area,MBCe0182.mzML Peak area,MBCe0184.mzML Peak area,MBCe0186.mzML Peak area,MBCe0195.mzML Peak area,MBCe0176.mzML Peak area,MBCe0208.mzML Peak area,MBCe0194.mzML Peak area,MBCe0202.mzML Peak area,MBCe0193.mzML Peak area,MBCe0211.mzML Peak area,MBCe0205.mzML Peak area,MBCe0180.mzML Peak area,MBCe0192.mzML Peak area,MBCe0216.mzML Peak area,MBCe0212.mzML Peak area,MBCe0207.mzML Peak area,MBCe0191.mzML Peak area,MBCe0206.mzML Peak area,MBCe0204.mzML Peak area,MBCe0196.mzML Peak area,MBCe0199.mzML Peak area,MBCe0221.mzML Peak area,MBCe0218.mzML Peak area,MBCe0215.mzML Peak area,MBCe0203.mzML Peak area,MBCe0209.mzML Peak area,MBCe0217.mzML Peak area,MBCe0200.mzML Peak area,MBCe0220.mzML Peak area,MBCe0230.mzML Peak area,preblank.mzML Peak area,MBCe0227.mzML Peak area,MBCe0224.mzML Peak area,MBCe0222.mzML Peak area,MBCe0223.mzML Peak area,MBCe0214.mzML Peak area,MBCe0213.mzML Peak area,MBCe0229.mzML Peak area,MBCe0232.mzML Peak area,MBCe0225.mzML Peak area,MBCe0228.mzML Peak area,MBCe0226.mzML Peak area,MBCe0219.mzML Peak area,MBCe0201.mzML Peak area,MBCe0210.mzML Peak area,MBCe0233.mzML Peak area,MBCe0235.mzML Peak area,MBCe0237.mzML Peak area,MBCe0236.mzML Peak area,MBCe0231.mzML Peak area,MBCe0234.mzML Peak area,
110,118.08640824647038,1.0902138,,,,76,,,,,,,0,0,0,2455.957,2476.6667,0,7674.2446,2431.706,4398.7593,3426.985,6588.2603,2565.841,7413.426,0,6794.6025,1870.9384,0,6484.3853,6676.0303,5128.2666,9751.428,10238.078,3759.448,0,12396.122,5431.3555,15715.845,7254.1797,6561.9844,12871.199,0,8693.702,4435.9585,11692.381,9812.004,11755.343,6694.243,8863.844,2984.2205,11586.017,3690.9636,1223.975,4372.143,2875.0217,0,9573.089,15312.174,3589.48,2930.0642,3020.7595,9075.82,9412.427,14487.045,12817.861,9744.077,7657.524,2613.1355,7389.6055,12346.373,15182.475,20530.287,10990.189,11987.202,4444.8467,4378.8003,0,3546.5107,2922.619,4253.6006,8347.929,2890.3909,4561.8,9396.161,5632.402,9240.75,3525.8997,2035.8168,4811.217,12980.781,7646.582,1564.3242,1620.8169,5640.778,4793.8364,6277.723,10567.141,
508,120.08057814844187,1.5030111,,,,93,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1015.53186,0,0,0,0,0,1323.635,1338.9764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1269.7611,1821.1915,0,0,0,2041.781,1137.498,0,1609.5604,0,0,0,0,0,0,0,0,0,0,1265.5806,0,0,0,0,0,2529.312,0,0,1424.5823,0,0,2715.6174,
24,121.06812103023864,1.051838,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2261.935,0,1131.5758,0,0,0,0,1808.9208,0,0,0,1652.3474,0,1558.4265,0,2254.2285,0,0,0,0,0,0,2127.3481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
538,122.0573403349726,1.6091832,,,,59,4,[M+Na]+,,2,538;536,99.0682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1449.5104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
695,122.09630919391351,1.9705317,,,,81,5,[M+NH4]+,,2,659;695,104.0625,0,0,0,0,0,0,0,0,1084.387,0,0,0,3002.1917,0,1959.9464,0,0,0,1614.1462,0,2874.5986,0,0,0,1327.9865,1297.0071,13550.733,0,0,0,0,12066.227,0,7209.8945,0,3574.7285,1599.8099,5324.179,0,11462.38,0,0,0,0,0,0,15054.934,0,0,0,0,8349.5,0,0,0,0,0,0,0,1532.6489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2285.7393,0,0,0,0,0,0,
9076,128.10652360733795,10.703475,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1501.848,0,0,0,0,0,0,0,1620.7057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1133.2041,0,0,0,0,0,0,0,1110.5488,0,0,0,0,0,0,0,0,0,
6217,128.10663272424145,9.931517,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1065.8455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7986,128.10659487810213,10.195918,,,,,,,,,,,0,1131.3403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1690.8376,1385.1749,0,0,0,0,0,0,1032.8337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1777.0464,0,0,0,0,1145.9307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2204.4636,0,0,1407.2349,0,0,0,0,0,0,0,0,1196.3726,0,0,0,0,0,0,0,0,1681.9915,
94,129.06588592048013,1.078113,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1022.80426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1062.0435,0,0,0,0,0,0,1049.1537,1098.3221,2187.1455,1326.8518,0,0,0,2247.664,1162.7137,0,1469.1653,0,0,0,0,0,0,0,0,0,0,1334.208,0,0,0,0,1380.6149,1325.6312,0,0,0,0,1455.8894,0,
275,130.08610569786947,1.1121472,,,,,,,,,,,0,0,0,1247.6416,0,0,1828.1672,0,0,0,0,1716.639,3047.3872,0,0,0,0,1259.6381,2240.4485,0,3985.9036,0,0,0,2010.6439,1848.8236,2803.1313,0,0,0,0,2082.8179,0,0,1185.4899,1446.087,0,1365.3986,0,0,0,0,0,0,0,0,1884.691,1003.55786,0,0,0,0,0,0,0,1167.099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
