parent mass;ATTRIBUTE_Day_cat;ATTRIBUTE_Day_num;ATTRIBUTE_Phases;ATTRIBUTE_replicate;ATTRIBUTE_SampleType;ATTRIBUTE_Shift_Major;cluster index;Compound_Name;GNPSGROUP:1;GNPSGROUP:10;GNPSGROUP:113;GNPSGROUP:15;GNPSGROUP:2;GNPSGROUP:23;GNPSGROUP:29;GNPSGROUP:3;GNPSGROUP:4;GNPSGROUP:44;GNPSGROUP:5;GNPSGROUP:57;GNPSGROUP:6;GNPSGROUP:7;GNPSGROUP:71;GNPSGROUP:8;GNPSGROUP:85;GNPSGROUP:9;GNPSGROUP:99;GNPSGROUP:B;GNPSGROUP:Blanck;GNPSGROUP:Early;GNPSGROUP:Late;GNPSGROUP:MeOH;GNPSGROUP:PB;GNPSGROUP:Peak;GNPSGROUP:Succession;GNPSGROUP:T1;GNPSGROUP:T10;GNPSGROUP:T11;GNPSGROUP:T12;GNPSGROUP:T2;GNPSGROUP:T3;GNPSGROUP:T4;GNPSGROUP:T5;GNPSGROUP:T6;GNPSGROUP:T7;GNPSGROUP:T8;GNPSGROUP:T9;molecularFormula;ClassyFire#class;ClassyFire#level 5;ClassyFire#most specific class;ClassyFire#subclass;ClassyFire#superclass;NPC#class;NPC#pathway;NPC#superclass;precursor mass;RTConsensus;RTMean;Smiles;SpectrumID
784.5263;T8;57;Late;4;Succession;Late;8582;;0;0;0;0;0;0;0;0;882.9176537;0;0;882.9176537;0;0;0;0;0;0;0;-1;-1;0;1765.835307;-1;0;0;882.9176537;0;0;0;0;0;0;0;0;0;0;882.9176537;0;;;;;;;;;;784.5263;10.507;10.507;;
493.3026;T9;71;Late;6;Succession;Late;1010;;0;0;0;0;0;0;0;0;0;0;0;0;4235.024221;0;4235.024221;0;0;0;0;-1;-1;0;8470.048442;-1;0;0;4235.024221;0;0;0;0;0;0;0;0;0;0;0;4235.024221;C25H40N4O6;Carboxylic acids and derivatives;Peptides;Oligopeptides;Amino acids, peptides, and analogues;Organic acids and derivatives;Tripeptides;Amino acids and Peptides;Small peptides;493.3026;3.0916;3.0916;;
206.1388;T6;3,29;Early,Peak;3,6;Succession;Early;91;;0;0;0;0;0;0;6693.046804;3823.626351;0;0;0;0;2869.420453;0;0;0;0;0;0;-1;-1;6693.046804;0;-1;0;6693.046804;6693.046804;0;0;0;0;0;0;0;0;6693.046804;0;0;0;C9H19NO4;Hydroxy acids and derivatives;;Beta hydroxy acids and derivatives;Beta hydroxy acids and derivatives;Organic acids and derivatives;Fatty acyl carnitines;Fatty acids;Fatty esters;206.1388;1.0821;1.0821;;
138.0548;T10,T7,T9,T8,T6,T12,T11;71,3,29,44,99,85,57,7,113;Late,Early,Peak;5,2,9,1,4,3,8,6,7;Succession;Early,Late;398;;58397.32987;0;97305.42915;0;60624.92165;0;2543.83609;54452.35091;90009.87602;35890.66282;37574.32386;91227.81162;39030.51149;29958.11425;84719.67667;45343.36625;55647.55647;30058.22193;78114.04341;-1;-1;2543.83609;885810.3603;-1;0;2543.83609;445449.0162;0;55647.55647;78114.04341;97305.42915;0;0;0;0;2543.83609;35890.66282;91227.81162;84719.67667;C7H7NO2;Pyridines and derivatives;Pyridinecarboxylic acids;Pyridinecarboxylic acids;Pyridinecarboxylic acids and derivatives;Organoheterocyclic compounds;Pyridine alkaloids;Alkaloids;Nicotinic acid alkaloids;138.0548;1.0941;1.0941;;
241.1549;T10,T7,T9,T8,T6,T12,T11;71,3,29,44,99,85,57,7,113;Late,Early,Peak;5,2,9,1,4,3,8,6,7;Succession;Early,Late;279;N,N-dimethyl-proline-proline betaine;23922.75881;0;109134.5038;0;53370.88264;0;3639.918941;102111.3009;110757.315;10014.7207;64770.67293;141232.1689;32141.80284;25388.12908;82596.83276;16990.18616;87054.38828;54014.62665;49795.14157;-1;-1;3639.918941;959655.5122;-1;0;3639.918941;483467.675;0;87054.38828;49795.14157;109134.5038;0;0;0;0;3639.918941;10014.7207;141232.1689;82596.83276;C12H20N2O3;Carboxylic acids and derivatives;Amino acids and derivatives;N-acyl-alpha amino acids;Amino acids, peptides, and analogues;Organic acids and derivatives;Dipeptides;Amino acids and Peptides;Small peptides;241.1549;1.3198;1.3198;O=C(N1C(C(O)=O)CCC1)C2CCC[N+]2(C)C;CCMSLIB00008851523
415.2543;T12;113;Late;1;Succession;Late;862;Spectral Match to Nonaethylene glycol from NIST14;2764.396774;0;2764.396774;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;0;5528.793548;-1;0;0;2764.396774;0;0;0;2764.396774;0;0;0;0;0;0;0;0;C18H38O10;Organooxygen compounds;Dialkyl ethers;Polyethylene glycols;Ethers;Organic oxygen compounds;Monoacylglycerols;Fatty acids;Glycerolipids;415.2543;2.5976;2.5976;nan;CCMSLIB00003136089
623.2867;T9;71;Late;9;Succession;Late;6284;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;750.7325478;0;0;750.7325478;0;-1;-1;0;1501.465096;-1;0;0;750.7325478;0;0;0;0;0;0;0;0;0;0;0;750.7325478;C33H44O10;Steroids and steroid derivatives;;Steroid esters;Steroid esters;Lipids and lipid-like molecules;Tetraketide meroterpenoids;Terpenoids;Triterpenoids;623.2867;9.7155;9.7155;;
568.3989;T9;71;Late;9;Succession;Late;4056;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;543.14241;0;0;543.14241;0;-1;-1;0;1086.28482;-1;0;0;543.14241;0;0;0;0;0;0;0;0;0;0;0;543.14241;C27H57N6O4;Carboxylic acids and derivatives;Amino acids and derivatives;N-acyl-alpha amino acids and derivatives;Amino acids, peptides, and analogues;Organic acids and derivatives;Polyamines;Amino acids and Peptides;Ornithine alkaloids;568.3989;8.225;8.225;;
303.2319;T9,T8,T12;71,57,113;Late;8,6;Succession;Late;4137;linoleic acid;0;0;5192.233004;0;0;0;0;0;0;0;0;1596.515224;5192.233004;0;2969.251765;4565.766989;0;0;0;-1;-1;0;19515.99999;-1;0;0;9757.999993;0;0;0;5192.233004;0;0;0;0;0;0;1596.515224;2969.251765;C20H30O2;Fatty Acyls;Long-chain fatty acids;Long-chain fatty acids;Fatty acids and conjugates;Lipids and lipid-like molecules;Unsaturated fatty acids;Fatty acids;Fatty Acids and Conjugates;303.2319;8.4121;8.4121;O=C(O)CCCCCCCC=CCC=CCCCCC;CCMSLIB00006554023
524.3739;T10,T7,T9,T8,T12,T11;71,3,44,99,85,57,113;Late;5,2,9,4,3,8;Succession;Late;3330;Spectral Match to 1-Stearoyl-2-hydroxy-sn-glycero-3-phosphocholine from NIST14;0;0;4083.036098;0;2561.407337;0;0;2884.13565;3316.659291;1521.419852;2054.572964;11093.79956;0;0;11172.9731;9550.566198;6654.065851;17366.09651;3208.143498;-1;-1;0;75466.8759;-1;0;0;37733.43795;0;6654.065851;3208.143498;4083.036098;0;0;0;0;0;1521.419852;11093.79956;11172.9731;C26H54NO7P;Glycerophospholipids;Lysophosphatidylcholines;1-acyl-sn-glycero-3-phosphocholines;Glycerophosphocholines;Lipids and lipid-like molecules;Glycerophosphocholines;Fatty acids;Glycerophospholipids;524.3739;7.6554;7.6554;nan;CCMSLIB00003137839
724.5725;T9;71;Late;5,9,4;Succession;Late;7131;;0;0;0;0;0;0;0;0;1980.761735;0;1765.171905;0;0;0;6761.333544;0;0;3015.399904;0;-1;-1;0;13522.66709;-1;0;0;6761.333544;0;0;0;0;0;0;0;0;0;0;0;6761.333544;C40H79NO8;Organonitrogen compounds;Cholines;Cholines;Quaternary ammonium salts;Organic nitrogen compounds;Triacylglycerols;Fatty acids;Glycerophospholipids;724.5725;10.0097;10.0097;;
682.5623;T10,T7,T9,T12,T11;71,3,44,99,85,7,113;Late;5,2,9,1,4,3,6,7;Succession;Late;7073;;4475.610403;0;2838.916356;0;2618.472718;0;0;4347.910138;2423.793492;5144.251669;1493.010399;0;2354.763809;4943.335603;6099.785279;0;4528.212739;927.5060088;4973.236526;-1;-1;0;47168.80514;-1;0;0;23584.40257;0;4528.212739;4973.236526;2838.916356;0;0;0;0;0;5144.251669;0;6099.785279;C40H75NO7;Carboxylic acids and derivatives;Amino acids and derivatives;Amino acids and derivatives;Amino acids, peptides, and analogues;Organic acids and derivatives;Triacylglycerols;Fatty acids;Glycerolipids;682.5623;10.254;10.254;;
328.2639;T6;29;Early,Peak;9;Succession;Early;4017;;0;0;0;0;0;0;5434.896612;0;0;0;0;0;0;0;0;0;0;5434.896612;0;-1;-1;5434.896612;0;-1;0;5434.896612;5434.896612;0;0;0;0;0;0;0;0;5434.896612;0;0;0;C22H33NO;Quinolines and derivatives;Hydroquinolones;Hydroquinolones;Quinolones and derivatives;Organoheterocyclic compounds;Quinoline alkaloids;Alkaloids;Anthranilic acid alkaloids;328.2639;8.2023;8.2023;;
723.3841;T12;113;Late;5,1,8;Succession;Late;1053;;14867.35162;0;23140.42052;0;0;0;0;0;0;0;5427.441189;0;0;0;0;2845.627713;0;0;0;-1;-1;0;46280.84104;-1;0;0;23140.42052;0;0;0;23140.42052;0;0;0;0;0;0;0;0;;;;;;;;;;362.192;3.3027;3.3027;;
757.5558;T4;7,15;Early;7;Succession;Early;8895;;0;0;0;2358.746595;0;0;0;0;0;0;0;0;0;2358.746595;0;0;0;0;0;-1;-1;4717.493189;0;-1;0;0;2358.746595;0;0;0;0;0;0;2358.746595;0;0;0;0;0;C37H72N8O8;Carboxylic acids and derivatives;Peptides;Oligopeptides;Amino acids, peptides, and analogues;Organic acids and derivatives;Lipopeptides;Amino acids and Peptides;Oligopeptides;757.5558;10.6745;10.6745;;
568.341;T10,T7,T9,T8,T6,T12,T11;71,3,29,44,99,85,57,7,113;Late,Early,Peak;5,2,9,1,4,3,8,6,7;Succession;Early,Late;2923;Lyso PC (22:6);23307.236;0;67246.34979;0;39811.14384;0;11700.05237;69439.85493;86643.68189;4997.695357;19571.72017;109626.3929;13134.08595;81667.73709;91804.09419;44972.67145;42568.69024;54472.8773;105077.7338;-1;-1;11700.05237;842641.9125;-1;0;11700.05237;433021.0086;0;42568.69024;105077.7338;67246.34979;0;0;0;0;11700.05237;4997.695357;109626.3929;91804.09419;C30H50NO7P;Glycerophospholipids;Lysophosphatidylcholines;1-acyl-sn-glycero-3-phosphocholines;Glycerophosphocholines;Lipids and lipid-like molecules;Glycerophosphocholines;Fatty acids;Glycerophospholipids;568.341;6.9256;6.9256;nan;CCMSLIB00006678145
353.3783;T12,T11;3,99,7,113;Late;5,2,9,1,3,8,6,7;Succession;Late;5723;;2196.79044;0;17387.39942;0;3195.486521;0;0;3337.421843;0;0;3737.008463;0;2286.963939;4431.005655;0;3873.69943;0;6569.836733;12240.81361;-1;-1;0;59256.42605;-1;0;0;29628.21302;0;0;12240.81361;17387.39942;0;0;0;0;0;0;0;0;C24H50O2;Prenol lipids;;Diterpenoids;Diterpenoids;Lipids and lipid-like molecules;Fatty alcohols;Fatty acids;Fatty acyls;353.3783;9.4565;9.4565;;
747.4661;T10;85;Late;5;Succession;Late;6364;;0;0;0;0;0;0;0;0;0;0;6916.920248;0;0;0;0;0;6916.920248;0;0;-1;-1;0;13833.8405;-1;0;0;6916.920248;0;6916.920248;0;0;0;0;0;0;0;0;0;0;C40H68O11;Prenol lipids;Triterpene glycosides;Triterpene saponins;Terpene glycosides;Lipids and lipid-like molecules;Polyether ionophores;Polyketides;Triterpenoids;747.4661;9.7592;9.7592;;
556.3408;T9,T8;71,57,7;Late;2,7;Succession;Late;2626;;0;0;0;0;1272.876113;0;0;0;0;0;0;2126.177335;0;2126.177335;1272.876113;0;0;0;0;-1;-1;0;6798.106895;-1;0;0;3399.053448;0;0;0;0;0;0;0;0;0;0;2126.177335;1272.876113;C29H50NO7P;Glycerophospholipids;Lysophosphatidylcholines;1-acyl-sn-glycero-3-phosphocholines;Glycerophosphocholines;Lipids and lipid-like molecules;Glycerophosphocholines;Fatty acids;Glycerophospholipids;556.3408;6.8424;6.8424;;
822.5056;T7,T9,T8,T12;71,3,44,57,7,113;Late;2,9,4,3,8,7;Succession;Late;5507;;0;0;1564.923897;0;2271.041342;0;0;3032.65586;4202.827189;1780.217817;0;6003.745986;0;1800.918797;5238.047982;1780.217817;0;1499.274677;0;-1;-1;0;29173.87136;-1;0;0;14586.93568;0;0;0;1564.923897;0;0;0;0;0;1780.217817;6003.745986;5238.047982;C46H74NO8P;Glycerophospholipids;Phosphatidylcholines;Phosphatidylcholines;Glycerophosphocholines;Lipids and lipid-like molecules;Glycerophosphocholines;Fatty acids;Glycerophospholipids;822.5056;9.4372;9.4372;;
141.006;T4;15;Early;9,8;Succession;Early;293;;0;0;0;6295.792016;0;0;0;0;0;0;0;0;0;0;0;3520.174602;0;2775.617415;0;-1;-1;12591.58403;0;-1;0;0;6295.792016;0;0;0;0;0;0;6295.792016;0;0;0;0;0;C3H6N2O2;Carboxylic acids and derivatives;;Carboxylic acids and derivatives;;Organic acids and derivatives;Aminoacids;Amino acids and Peptides;Small peptides;141.006;1.1887;1.1887;;
352.2464;T3,T10,T4,T7,T9,T8,T6,T5;71,3,29,44,85,57,7,10,23,15;Late,Early,Peak;5,2,9,1,4,3,8,6,7;Succession;Early,Late;3762;;51958.70018;69664.64208;0;23780.38455;61792.91187;56979.29344;52009.50097;56428.21881;38654.07408;60182.48145;17728.94479;53204.80417;31588.18821;36058.92005;53755.25154;52062.91704;13382.36252;36685.84567;0;-1;-1;352858.1411;361049.7993;-1;0;52009.50097;382958.7207;0;13382.36252;0;0;0;69664.64208;23780.38455;56979.29344;52009.50097;60182.48145;53204.80417;53755.25154;C18H35NO4;Carboxylic acids and derivatives;Amino acids and derivatives;Amino acids and derivatives;Amino acids, peptides, and analogues;Organic acids and derivatives;N-acyl amines;Fatty acids;Fatty amides;352.2464;7.9549;7.9549;;
522.3565;T10,T7,T9,T8,T6,T12,T5,T11;71,3,29,44,99,85,57,7,113,23;Late,Early,Peak;5,2,9,1,4,3,8,6,7;Succession;Early,Late;2995;Spectral Match to 1-(9Z-Octadecenoyl)-sn-glycero-3-phosphocholine from NIST14;14849.5627;0;43527.84348;0;23384.27965;8705.415706;5723.003521;24090.43272;23216.44488;16950.9205;15430.5309;73396.96923;14537.70046;37306.46249;51741.5523;64279.52198;27298.32507;67370.31555;57121.22152;-1;-1;23133.83493;540073.6642;-1;0;5723.003521;284465.2513;0;27298.32507;57121.22152;43527.84348;0;0;0;8705.415706;5723.003521;16950.9205;73396.96923;51741.5523;C26H52NO7P;Glycerophospholipids;Lysophosphatidylcholines;Lysophosphatidylcholines;Glycerophosphocholines;Lipids and lipid-like molecules;Glycerophosphocholines;Fatty acids;Glycerophospholipids;522.3565;7.2271;7.2271;nan;CCMSLIB00003138526
1157.6546;T8;57,7;Late;7;Succession;Late;2745;;0;0;0;0;0;0;0;0;0;0;0;3140.643971;0;3140.643971;0;0;0;0;0;-1;-1;0;6281.287942;-1;0;0;3140.643971;0;0;0;0;0;0;0;0;0;0;3140.643971;0;;;;;;;;;;1157.6546;6.9361;6.9361;;
196.1327;T9;71;Late;9;Succession;Late;472;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;523.2133163;0;0;523.2133163;0;-1;-1;0;1046.426633;-1;0;0;523.2133163;0;0;0;0;0;0;0;0;0;0;0;523.2133163;;;;;;;;;;196.1327;1.3709;1.3709;;
430.2443;T3,T10,T4,T7,T9,T8,T6,T12,T5,T11;71,3,29,44,99,85,57,7,10,113,23,15;Late,Early,Peak;5,2,9,1,4,3,8,6,7;Succession;Early,Late;1216;;14303.63801;22078.56036;5099.626192;34518.83412;13612.68136;8907.336799;6312.229101;20203.59572;14496.89738;4776.917753;9944.632532;10002.05952;10670.91752;15363.65942;21144.39939;29311.7638;19311.65958;17439.499;13195.66193;-1;-1;137321.6917;147060.6487;-1;0;6312.229101;145347.2847;0;19311.65958;13195.66193;5099.626192;0;22078.56036;34518.83412;8907.336799;6312.229101;4776.917753;10002.05952;21144.39939;C21H32O8;;;Lipids and lipid-like molecules;;Lipids and lipid-like molecules;Macrolide lactones;Polyketides;Macrolides;430.2443;3.6869;3.6869;;
744.5726;T12,T11;99,7,113;Late;6,7;Succession;Late;8661;;0;0;2692.120547;0;0;0;0;0;0;0;0;0;2019.361267;2692.120547;0;0;0;0;2019.361267;-1;-1;0;9422.963629;-1;0;0;4711.481815;0;0;2019.361267;2692.120547;0;0;0;0;0;0;0;0;C43H79NO7;Glycerolipids;Triacylglycerols;Triacylglycerols;Triradylcglycerols;Lipids and lipid-like molecules;Triacylglycerols;Fatty acids;Glycerolipids;744.5726;10.5099;10.5099;;
593.476;T10,T9,T12,T5,T11;71,3,99,85,7,113,23;Late,Early;5,2,9,1,4,3,8,6,7;Succession;Early,Late;8571;;23285.64036;0;85796.35436;0;18202.0316;14157.39941;0;31869.14446;11526.03671;0;26352.86158;0;5323.146178;50431.01436;5019.063623;20265.58179;17657.0905;29908.56597;94534.11511;-1;-1;28314.79883;406013.2472;-1;0;0;217164.023;0;17657.0905;94534.11511;85796.35436;0;0;0;14157.39941;0;0;0;5019.063623;;;;;;;;;;593.476;10.5017;10.5017;;
332.3313;T10,T4,T7,T9,T8,T6,T12,T11;71,3,29,44,99,85,57,7,113,15;Late,Early,Peak;5,2,9,4,3,8,6,7;Succession;Early,Late;3825;;0;0;4575.51113;2993.765273;26867.72391;0;23713.79213;9070.616785;12436.50493;10614.50412;37020.94821;13943.56283;9320.540416;3718.252854;13399.34086;21361.56698;74398.59026;27769.78113;3926.868635;-1;-1;29701.32267;241716.7556;-1;0;23713.79213;147565.9352;0;74398.59026;3926.868635;4575.51113;0;0;2993.765273;0;23713.79213;10614.50412;13943.56283;13399.34086;C23H41N;Benzene and substituted derivatives;;Phenylmethylamines;Phenylmethylamines;Benzenoids;Catechols with side chains;Alkaloids;Pseudoalkaloids;332.3313;8.0242;8.0242;;
800.603;T10,T4,T9;71,3,85,7,15;Late,Early;9,3,7;Succession;Early,Late;8946;DGCC (38:6);0;0;0;2630.471801;0;0;0;8289.647571;0;0;0;0;0;4819.205098;4255.731501;0;9893.037311;3670.387944;0;-1;-1;5260.943603;28297.53762;-1;0;0;16779.24061;0;9893.037311;0;0;0;0;2630.471801;0;0;0;0;4255.731501;C38H77N11O7;Carboxylic acids and derivatives;Peptides;Oligopeptides;Amino acids, peptides, and analogues;Organic acids and derivatives;Linear peptides;Amino acids and Peptides;Oligopeptides;800.603;10.4934;10.4934;nan;CCMSLIB00006678235
776.5211;T10,T7,T9,T8,T12;71,3,44,85,57,7,113;Late;5,2,9,4,3,8,7;Succession;Late;6070;;0;0;2166.38215;0;2815.207249;0;0;10455.10042;4098.433594;5316.031878;2259.23264;5679.62846;0;1581.194866;11407.26538;3333.986717;2118.523137;2144.675517;0;-1;-1;0;53375.662;-1;0;0;26687.831;0;2118.523137;0;2166.38215;0;0;0;0;0;5316.031878;5679.62846;11407.26538;C42H76NO8P;Glycerophospholipids;Phosphatidylcholines;Phosphatidylcholines;Glycerophosphocholines;Lipids and lipid-like molecules;Glycerophosphocholines;Fatty acids;Glycerophospholipids;776.5211;9.9007;9.9007;;
732.5743;T10,T4,T7,T9,T8,T12,T11;71,3,44,99,85,57,7,113,15;Late,Early;5,9,1,4,3,8,6,7;Succession;Early,Late;8271;;78105.37759;0;64509.20347;51940.30233;0;0;0;112189.5966;76832.07438;67998.7886;32573.12842;15136.69067;2510.044561;64540.62259;137168.9609;24290.3832;61475.50024;9698.263466;2510.044561;-1;-1;103880.6047;697598.3769;-1;0;0;400739.4908;0;61475.50024;2510.044561;64509.20347;0;0;51940.30233;0;0;67998.7886;15136.69067;137168.9609;C42H79NO7;Carboxylic acids and derivatives;Amino acids and derivatives;Amino acids and derivatives;Amino acids, peptides, and analogues;Organic acids and derivatives;Triacylglycerols;Fatty acids;Glycerolipids;732.5743;10.5819;10.5819;;
777.5258;T8;57;Late;4;Succession;Late;6071;;0;0;0;0;0;0;0;0;1230.207323;0;0;1230.207323;0;0;0;0;0;0;0;-1;-1;0;2460.414646;-1;0;0;1230.207323;0;0;0;0;0;0;0;0;0;0;1230.207323;0;C42H73N4O7P;Sphingolipids;;Phosphosphingolipids;Phosphosphingolipids;Lipids and lipid-like molecules;Phosphosphingolipids;Fatty acids;Sphingolipids;777.5258;9.4524;9.4524;;
838.5586;T4,T9,T8;71,57,15;Late,Early;9,4,6;Succession;Early,Late;5512;;0;0;0;2223.329735;0;0;0;0;1023.129708;0;0;1023.129708;2223.329735;0;1543.2399;0;0;1543.2399;0;-1;-1;4446.65947;5132.739215;-1;0;0;4789.699343;0;0;0;0;0;0;2223.329735;0;0;0;1023.129708;1543.2399;C34H67N19O6;Carboxylic acids and derivatives;Peptides;Oligopeptides;Amino acids, peptides, and analogues;Organic acids and derivatives;Lipopeptides;Amino acids and Peptides;Oligopeptides;838.5586;9.4027;9.4027;;
664.4562;T3;10;Early;9;Succession;Early;5831;;0;2995.543067;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2995.543067;0;-1;-1;5991.086134;0;-1;0;0;2995.543067;0;0;0;0;0;2995.543067;0;0;0;0;0;0;;;;;;;;;;664.4562;9.5214;9.5214;;
706.5595;T10,T4,T7,T9,T8,T6,T12,T5,T11;71,3,29,44,99,85,57,7,113,23,15;Late,Early,Peak;5,2,9,1,4,3,8,6,7;Succession;Early,Late;7977;;18984.57018;0;12326.94632;41249.3194;21219.03355;3902.167763;13612.5402;22676.32461;8567.746271;10529.61819;6048.814921;10190.44064;16313.11329;13442.55003;15121.64164;18480.49273;17887.74612;13928.32548;14840.5508;-1;-1;103915.5145;161793.8874;-1;0;13612.5402;139660.9711;0;17887.74612;14840.5508;12326.94632;0;0;41249.3194;3902.167763;13612.5402;10529.61819;10190.44064;15121.64164;C41H73N5O3;Carboxylic acids and derivatives;Amino acids and derivatives;Amino acids and derivatives;Amino acids, peptides, and analogues;Organic acids and derivatives;Steroidal alkaloids;Alkaloids;Pseudoalkaloids;706.5595;10.5645;10.5645;;
347.2309;T9;71,3;Late;1,3;Succession;Late;1470;;2540.415469;0;0;0;0;0;0;1551.809922;0;0;0;0;0;0;4092.225391;0;0;0;0;-1;-1;0;8184.450781;-1;0;0;4092.225391;0;0;0;0;0;0;0;0;0;0;0;4092.225391;;;;;;;;;;347.2309;4.5572;4.5572;;
758.59;T10,T4,T7,T9,T8,T6,T12,T11;71,3,29,44,99,85,57,7,113,15;Late,Early,Peak;5,2,9,1,4,3,8,6,7;Succession;Early,Late;9077;;19427.42193;0;29058.81699;30448.3832;15906.89266;0;5302.82567;35971.16826;13081.52251;22629.6;13160.20918;6644.457752;15718.8079;24300.98144;25986.70239;12855.57492;23213.06437;14328.9127;21467.64112;-1;-1;66199.59208;258000.5653;-1;0;5302.82567;164751.4915;0;23213.06437;21467.64112;29058.81699;0;0;30448.3832;0;5302.82567;22629.6;6644.457752;25986.70239;;;;;;;;;;758.59;10.7599;10.7599;;
118.0864;T3,T10,T4,T7,T9,T8,T6,T12,T5,T11;71,3,29,44,99,85,57,7,10,113,23,15;Late,Early,Peak;5,2,9,1,4,3,8,6,7;Succession;Early,Late;110;;205694.3321;102585.9407;132705.4525;51030.94686;161332.754;160592.3979;271357.8561;136580.4936;139767.495;84704.17094;107766.5719;116388.6651;163307.485;147523.3714;176073.0095;186315.4069;126611.433;85612.60982;111850.647;-1;-1;899776.427;1496666.756;-1;0;271357.8561;1333900.52;0;126611.433;111850.647;132705.4525;0;102585.9407;51030.94686;160592.3979;271357.8561;84704.17094;116388.6651;176073.0095;C5H11NO2;Carboxylic acids and derivatives;Amino acids and derivatives;Alpha amino acids;Amino acids, peptides, and analogues;Organic acids and derivatives;Aminoacids;Amino acids and Peptides;Small peptides;118.0864;1.0902;1.0902;;
331.1002;T10,T9,T8,T12;71,3,85,57,113;Late;5,9,1,4,3,8,6;Succession;Late;1463;;3684.559069;0;19309.97079;0;0;0;0;3202.973502;1103.481949;0;1482.877855;5299.644367;7101.069495;0;9466.588172;7286.70073;1700.277369;11914.8181;0;-1;-1;0;71552.96139;-1;0;0;35776.4807;0;1700.277369;0;19309.97079;0;0;0;0;0;0;5299.644367;9466.588172;C12H20O9;Organooxygen compounds;Glycosyl compounds;O-glycosyl compounds;Carbohydrates and carbohydrate conjugates;Organic oxygen compounds;Disaccharides;Carbohydrates;Saccharides;331.1002;4.5086;4.5086;;
504.3433;T7,T9,T8,T12;71,3,44,57,7,113;Late;2,9,3,8,6,7;Succession;Late;3015;;0;0;10463.60328;0;1516.523697;0;0;3081.752667;0;5786.242277;0;10154.5316;4589.435557;2249.245748;8017.391549;15100.81716;0;7883.993871;0;-1;-1;0;68843.53741;-1;0;0;34421.7687;0;0;0;10463.60328;0;0;0;0;0;5786.242277;10154.5316;8017.391549;C24H52NO6P;Glycerophospholipids;;Glycerophosphocholines;Glycerophosphocholines;Lipids and lipid-like molecules;Glycerophosphocholines;Fatty acids;Glycerophospholipids;504.3433;7.1517;7.1517;;
128.1066;T10,T6,T12,T5,T11;29,99,85,7,113,23;Late,Early,Peak;5,2,9,1,6,7;Succession;Early,Late;7986;;57751.80161;0;18078.86295;0;17878.56325;136093.7958;2859.584012;0;0;0;4333.675471;0;9541.564676;6965.244163;0;0;62712.44965;131713.1789;8439.335622;-1;-1;275047.1756;178461.2964;-1;0;2859.584012;228184.028;0;62712.44965;8439.335622;18078.86295;0;0;0;136093.7958;2859.584012;0;0;0;;;;;;;;;;128.1066;10.1959;10.1959;;
423.0157;T3;10;Early;9;Succession;Early;315;;0;9157.676444;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9157.676444;0;-1;-1;18315.35289;0;-1;0;0;9157.676444;0;0;0;0;0;9157.676444;0;0;0;0;0;0;C2H11N2O4P2;Organic phosphonic acids and derivatives;;Organic phosphonic acids;Organic phosphonic acids;Organic acids and derivatives;Aminoacids;Amino acids and Peptides;Small peptides;212.0079;1.1637;1.1637;;
111.1169;T9;71;Late;9;Succession;Late;799;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;732.6592507;0;0;732.6592507;0;-1;-1;0;1465.318501;-1;0;0;732.6592507;0;0;0;0;0;0;0;0;0;0;0;732.6592507;C8H14;Unsaturated hydrocarbons;;Olefins;Olefins;Hydrocarbons;Hydrocarbons;Terpenoids;Monoterpenoids;111.1169;2.3954;2.3954;;
151.1441;T10,T4,T9,T8,T6,T12,T11;71,3,29,99,85,57,7,113,15;Late,Early,Peak;5,9,4,3,8,6,7;Succession;Early,Late;41;;0;0;6730.348541;26351.19375;0;0;9077.997061;8578.614795;3044.112967;0;5463.292566;13252.47952;8052.993072;9719.585881;15946.68143;40679.46406;12761.69783;19286.36362;10704.02882;-1;-1;61780.38456;118790.4723;-1;0;9077.997061;94824.42695;0;12761.69783;10704.02882;6730.348541;0;0;26351.19375;0;9077.997061;0;13252.47952;15946.68143;C6H15NO2;Organonitrogen compounds;Alkanolamines;1,2-aminoalcohols;Amines;Organic nitrogen compounds;Fatty alcohols;Alkaloids;Small peptides;151.1441;1.0708;1.0708;;
404.3022;T9;71;Late;9;Succession;Late;3254;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;695.4425674;0;0;695.4425674;0;-1;-1;0;1390.885135;-1;0;0;695.4425674;0;0;0;0;0;0;0;0;0;0;0;695.4425674;;;;;;;;;;404.3022;7.3622;7.3622;;
815.5397;T12;3,113;Late;3;Succession;Late;7080;;0;0;1401.186976;0;0;0;0;1401.186976;0;0;0;0;0;0;0;0;0;0;0;-1;-1;0;2802.373952;-1;0;0;1401.186976;0;0;0;1401.186976;0;0;0;0;0;0;0;0;C35H75N8O11P;Carboxylic acids and derivatives;Amino acids and derivatives;N-acyl-alpha amino acids and derivatives;Amino acids, peptides, and analogues;Organic acids and derivatives;Sphingoid bases;Fatty acids;Sphingolipids;815.5397;9.9863;9.9863;;
