parent mass;ATTRIBUTE_Day_cat;ATTRIBUTE_Day_num;ATTRIBUTE_Phases;ATTRIBUTE_replicate;ATTRIBUTE_SampleType;ATTRIBUTE_Shift_Major;cluster index;Compound_Name;GNPSGROUP:1;GNPSGROUP:10;GNPSGROUP:113;GNPSGROUP:15;GNPSGROUP:2;GNPSGROUP:23;GNPSGROUP:29;GNPSGROUP:3;GNPSGROUP:4;GNPSGROUP:44;GNPSGROUP:5;GNPSGROUP:57;GNPSGROUP:6;GNPSGROUP:7;GNPSGROUP:71;GNPSGROUP:8;GNPSGROUP:85;GNPSGROUP:9;GNPSGROUP:99;GNPSGROUP:B;GNPSGROUP:Blanck;GNPSGROUP:Early;GNPSGROUP:Late;GNPSGROUP:MeOH;GNPSGROUP:PB;GNPSGROUP:Peak;GNPSGROUP:Succession;GNPSGROUP:T1;GNPSGROUP:T10;GNPSGROUP:T11;GNPSGROUP:T12;GNPSGROUP:T2;GNPSGROUP:T3;GNPSGROUP:T4;GNPSGROUP:T5;GNPSGROUP:T6;GNPSGROUP:T7;GNPSGROUP:T8;GNPSGROUP:T9;molecularFormula;ClassyFire#class;ClassyFire#level 5;ClassyFire#most specific class;ClassyFire#subclass;ClassyFire#superclass;NPC#class;NPC#pathway;NPC#superclass;precursor mass;RTConsensus;RTMean;Smiles;SpectrumID
681.4137;T7,T9;71,44;Late;9,8;Succession;Late;4292;;0;0;0;0;0;0;0;0;0;1340.608342;0;0;0;0;1204.038565;1340.608342;0;1204.038565;0;-1;-1;0;5089.293815;-1;0;0;2544.646907;0;0;0;0;0;0;0;0;0;1340.608342;0;1204.038565;C29H52N12O7;Carboxylic acids and derivatives;Peptides;Oligopeptides;Amino acids, peptides, and analogues;Organic acids and derivatives;Tripeptides;Amino acids and Peptides;Oligopeptides;681.4137;8.6853;8.6853;;
624.4841;T9;71;Late;9;Succession;Late;5153;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1189.057677;0;0;1189.057677;0;-1;-1;0;2378.115354;-1;0;0;1189.057677;0;0;0;0;0;0;0;0;0;0;0;1189.057677;;;;;;;;;;624.4841;9.2554;9.2554;;
122.0573;T8;57;Late;8;Succession;Late;538;;0;0;0;0;0;0;0;0;0;0;0;2298.669332;0;0;0;2298.669332;0;0;0;-1;-1;0;4597.338664;-1;0;0;2298.669332;0;0;0;0;0;0;0;0;0;0;2298.669332;0;;;;;;;;;;122.0573;1.6092;1.6092;;
482.3247;T9;71;Late;9;Succession;Late;3434;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;712.5671901;0;0;712.5671901;0;-1;-1;0;1425.13438;-1;0;0;712.5671901;0;0;0;0;0;0;0;0;0;0;0;712.5671901;C23H48NO7P;Carboxylic acids and derivatives;Amino acids and derivatives;Amino acids and derivatives;Amino acids, peptides, and analogues;Organic acids and derivatives;Glycerophosphoethanolamines;Fatty acids;Glycerophospholipids;482.3247;7.6114;7.6114;;
1560.0995;T8;57;Late;4;Succession;Late;7359;;0;0;0;0;0;0;0;0;1021.849063;0;0;1021.849063;0;0;0;0;0;0;0;-1;-1;0;2043.698126;-1;0;0;1021.849063;0;0;0;0;0;0;0;0;0;0;1021.849063;0;;;;;;;;;;1560.0995;10.066;10.066;;
751.5132;T3,T10,T4,T7,T9,T8,T6,T5,T11;71,3,29,44,99,85,57,7,10,23,15;Late,Early,Peak;5,2,9,1,4,3,8,6,7;Succession;Early,Late;2106;;61761.64531;143435.2843;0;47266.39512;42484.22886;16151.96252;93660.01776;57128.23395;73306.01026;13099.48237;23278.55083;28440.71955;89174.23201;84987.89556;73359.21654;72561.39219;132039.3752;74885.04517;32114.78078;-1;-1;507367.3017;558107.1488;-1;0;93660.01776;579567.2341;0;132039.3752;32114.78078;0;0;143435.2843;47266.39512;16151.96252;93660.01776;13099.48237;28440.71955;73359.21654;C46H70O8;Fatty Acyls;;Fatty acid esters;Fatty acid esters;Lipids and lipid-like molecules;Triacylglycerols;Terpenoids;Glycerolipids;751.5132;6.1915;6.1915;;
601.4924;T10,T6;3,29,85;Late,Early,Peak;2,9,3;Succession;Early,Late;8605;;0;0;0;0;3449.121823;0;6242.130782;2793.008958;0;0;0;0;0;0;0;0;5814.721821;5814.721821;0;-1;-1;6242.130782;11629.44364;-1;0;6242.130782;12056.8526;0;5814.721821;0;0;0;0;0;0;6242.130782;0;0;0;C35H66N2O4;Carboxylic acids and derivatives;Amino acids and derivatives;Amino acids and derivatives;Amino acids, peptides, and analogues;Organic acids and derivatives;N-acyl amines;Fatty acids;Ornithine alkaloids;601.4924;10.5523;10.5523;;
172.1332;T3,T7,T9,T8,T6,T5;71,3,29,44,57,7,10,23;Late,Early,Peak;2,9,1,4,3,8,6,7;Succession;Early,Late;3854;;7821.492632;5898.431749;0;0;8038.878899;4129.639869;7215.141769;2371.212386;5875.673616;10846.16745;0;8258.94563;3083.267197;2425.285395;3255.776603;5311.890308;0;4676.402633;0;-1;-1;27271.285;44721.77936;-1;0;7215.141769;39604.10307;0;0;0;0;0;5898.431749;0;4129.639869;7215.141769;10846.16745;8258.94563;3255.776603;C9H17NO2;Carboxylic acids and derivatives;Amino acids and derivatives;Gamma amino acids and derivatives;Amino acids, peptides, and analogues;Organic acids and derivatives;Aminoacids;Amino acids and Peptides;Small peptides;172.1332;8.0559;8.0559;;
567.4603;T4,T7,T6,T12,T5,T11;3,29,44,99,7,113,23,15;Late,Early,Peak;5,2,9,1,4,3,8,6,7;Succession;Early,Late;6800;;15589.78061;0;25481.97077;26992.41758;18353.62676;38458.71751;25930.83096;20927.64279;13338.15921;8482.81583;4587.450979;0;13865.65011;19686.10197;0;20070.99539;0;17884.31423;18956.96939;-1;-1;156833.1011;105843.512;-1;0;25930.83096;144303.722;0;0;18956.96939;25481.97077;0;0;26992.41758;38458.71751;25930.83096;8482.81583;0;0;;;;;;;;;;567.4603;9.6458;9.6458;;
134.0449;T8;57,7;Late;7;Succession;Late;276;;0;0;0;0;0;0;0;0;0;0;0;2310.522301;0;2310.522301;0;0;0;0;0;-1;-1;0;4621.044602;-1;0;0;2310.522301;0;0;0;0;0;0;0;0;0;0;2310.522301;0;;;;;;;;;;134.0449;1.1406;1.1406;;
813.4764;T9;71;Late;9;Succession;Late;4245;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;515.4527614;0;0;515.4527614;0;-1;-1;0;1030.905523;-1;0;0;515.4527614;0;0;0;0;0;0;0;0;0;0;0;515.4527614;C38H72N2O14S;Fatty Acyls;N-acyl amines;N-acyl amines;Fatty amides;Lipids and lipid-like molecules;Open-chain polyketides;Polyketides;Linear polyketides;813.4764;8.5843;8.5843;;
105.0697;T3,T7,T9,T6,T5;71,3,29,44,10,23;Late,Early,Peak;2,9,4,3,8,6;Succession;Early,Late;659;;0;3815.037563;0;0;13052.55072;4124.308176;54244.21132;21200.13318;12789.904;9480.167276;0;0;11782.93838;0;456.0194291;8838.555254;0;4455.662245;0;-1;-1;70122.9028;19872.37341;-1;0;54244.21132;72119.74377;0;0;0;0;0;3815.037563;0;4124.308176;54244.21132;9480.167276;0;456.0194291;;;;;;;;;;105.0697;1.9762;1.9762;;
