sample_name,Replicate,Time_Cat,Day,Phase,Phase_major,sample_name_2
MBCe0214.mzML.Peak.area,4,T10,85,Late,Late,Succession-T10-4
MBCe0215.mzML.Peak.area,5,T10,85,Late,Late,Succession-T10-5
MBCe0216.mzML.Peak.area,6,T10,85,Late,Late,Succession-T10-6
MBCe0217.mzML.Peak.area,7,T10,85,Late,Late,Succession-T10-7
MBCe0218.mzML.Peak.area,8,T10,85,Late,Late,Succession-T10-8
MBCe0219.mzML.Peak.area,9,T10,85,Late,Late,Succession-T10-9
MBCe0220.mzML.Peak.area,1,T11,99,Late,Late,Succession-T11-1
MBCe0221.mzML.Peak.area,2,T11,99,Late,Late,Succession-T11-2
MBCe0222.mzML.Peak.area,3,T11,99,Late,Late,Succession-T11-3
MBCe0223.mzML.Peak.area,4,T11,99,Late,Late,Succession-T11-4
MBCe0224.mzML.Peak.area,5,T11,99,Late,Late,Succession-T11-5
MBCe0225.mzML.Peak.area,6,T11,99,Late,Late,Succession-T11-6
MBCe0226.mzML.Peak.area,7,T11,99,Late,Late,Succession-T11-7
MBCe0227.mzML.Peak.area,8,T11,99,Late,Late,Succession-T11-8
MBCe0228.mzML.Peak.area,9,T11,99,Late,Late,Succession-T11-9
MBCe0229.mzML.Peak.area,1,T12,113,Late,Late,Succession-T12-1
MBCe0230.mzML.Peak.area,2,T12,113,Late,Late,Succession-T12-2
MBCe0231.mzML.Peak.area,3,T12,113,Late,Late,Succession-T12-3
MBCe0232.mzML.Peak.area,4,T12,113,Late,Late,Succession-T12-4
MBCe0233.mzML.Peak.area,5,T12,113,Late,Late,Succession-T12-5
MBCe0234.mzML.Peak.area,6,T12,113,Late,Late,Succession-T12-6
MBCe0235.mzML.Peak.area,7,T12,113,Late,Late,Succession-T12-7
MBCe0236.mzML.Peak.area,8,T12,113,Late,Late,Succession-T12-8
MBCe0237.mzML.Peak.area,9,T12,113,Late,Late,Succession-T12-9
