row m/z;MBCe0130.mzML;MBCe0131.mzML;MBCe0132.mzML;MBCe0133.mzML;MBCe0135.mzML;MBCe0136.mzML;MBCe0137.mzML;MBCe0138.mzML;MBCe0139.mzML;MBCe0140.mzML;MBCe0141.mzML;MBCe0142.mzML;MBCe0143.mzML;MBCe0144.mzML;MBCe0145.mzML;MBCe0146.mzML;MBCe0147.mzML;MBCe0148.mzML;MBCe0149.mzML;MBCe0150.mzML;MBCe0151.mzML;MBCe0152.mzML;MBCe0154.mzML;MBCe0155.mzML;MBCe0156.mzML;MBCe0157.mzML;MBCe0158.mzML;MBCe0159.mzML;MBCe0162.mzML;MBCe0163.mzML;MBCe0164.mzML;MBCe0165.mzML;MBCe0166.mzML;MBCe0167.mzML;MBCe0168.mzML;MBCe0169.mzML;MBCe0171.mzML;MBCe0172.mzML;MBCe0173.mzML;MBCe0174.mzML;MBCe0175.mzML;MBCe0176.mzML;MBCe0177.mzML;MBCe0178.mzML;MBCe0180.mzML;MBCe0181.mzML;MBCe0182.mzML;MBCe0183.mzML;MBCe0184.mzML;MBCe0185.mzML;MBCe0186.mzML;MBCe0191.mzML;MBCe0192.mzML;MBCe0193.mzML;MBCe0194.mzML;MBCe0195.mzML;MBCe0196.mzML;MBCe0197.mzML;MBCe0198.mzML;MBCe0199.mzML;MBCe0200.mzML;MBCe0201.mzML;MBCe0202.mzML;MBCe0203.mzML;MBCe0204.mzML;MBCe0205.mzML;MBCe0206.mzML;MBCe0207.mzML;MBCe0208.mzML;MBCe0209.mzML;MBCe0210.mzML;MBCe0211.mzML;MBCe0212.mzML;MBCe0213.mzML;MBCe0214.mzML;MBCe0215.mzML;MBCe0216.mzML;MBCe0217.mzML;MBCe0218.mzML;MBCe0219.mzML;MBCe0220.mzML;MBCe0221.mzML;MBCe0222.mzML;MBCe0223.mzML;MBCe0224.mzML;MBCe0225.mzML;MBCe0226.mzML;MBCe0227.mzML;MBCe0228.mzML;MBCe0229.mzML;MBCe0230.mzML;MBCe0231.mzML;MBCe0232.mzML;MBCe0233.mzML;MBCe0234.mzML;MBCe0235.mzML;MBCe0236.mzML;MBCe0237.mzML
;Day3;Day3;Day3;Day3;Day3;Day3;Day3;Day3;Day7;Day7;Day7;Day7;Day7;Day7;Day7;Day7;Day7;Day10;Day10;Day10;Day10;Day10;Day10;Day10;Day10;Day15;Day15;Day15;Day15;Day15;Day15;Day15;Day15;Day23;Day23;Day23;Day23;Day23;Day23;Day23;Day29;Day29;Day29;Day29;Day29;Day29;Day29;Day29;Day44;Day44;Day44;Day44;Day44;Day57;Day57;Day57;Day57;Day57;Day57;Day57;Day57;Day57;Day71;Day71;Day71;Day71;Day71;Day71;Day71;Day71;Day71;Day85;Day85;Day85;Day85;Day85;Day85;Day85;Day85;Day85;Day99;Day99;Day99;Day99;Day99;Day99;Day99;Day99;Day99;Day113;Day113;Day113;Day113;Day113;Day113;Day113;Day113;Day113
112.8952955;129.14264;518.6949;217.7581;422.61438;0;378.43124;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
112.9865983;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;577.76495;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
115.0753117;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;381.7401;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
116.0707242;0;1175.2131;0;0;0;1150.3164;0;0;0;969.7742;488.0658;0;826.8457;1387.8727;788.03925;1008.6627;0;1001.14496;64.94537;1462.97;0;0;1302.3679;613.81226;0;0;0;1133.8376;678.3335;3856.222;622.99786;0;1115.2471;1805.6448;1156.4741;1932.4854;965.884;0;771.4404;0;878.6843;1927.5046;1372.5359;1980.957;2750.8843;1998.3278;1796.0006;2360.1848;0;1247.653;1227.4401;1871.405;0;0;0;0;0;0;0;0;1421.4642;2827.5498;0;0;0;0;3534.0466;2359.6726;0;4756.9707;0;0;0;0;0;2041.7933;0;1507.2777;0;0;0;0;0;944.4934;0;1888.3549;0;0;0;1401.7372;0;0;0;0;1762.4854;0;0;0
118.0864037;0;1763.2468;696.5532;2281.5498;1916.5198;1614.89;2760.9724;1641.5244;3235.9277;6676.338;3415.8728;3004.6052;5876.271;11146.056;4574.121;6642.3887;1953.5553;7666.4536;2459.8086;7245.165;2472.8552;2434.8716;6525.0474;3432.381;2424.0474;0;0;3782.0173;6226.0947;12213.069;0;0;6353.6143;9708.784;6564.158;10191.891;6365.9766;5288.8716;5031.719;731.91876;4374.1616;11372.573;8675.93;15624.717;15274.685;12448.479;11581.688;11633.845;6562.7896;9470.886;8942.672;8850.17;3475.1033;2785.7441;939.2141;2996.0107;9181.417;7296.855;4297.589;7647.9116;11977.314;13030.23;4357.3545;15226.434;12187.338;9431.093;14383.814;9053.098;3633.3132;20066.473;0;0;2900.294;4395.071;2808.282;12393.068;2943.49;10777.401;7322.9805;4679.2686;4463.8345;2594.9517;4111.133;8135.6343;2873.3872;9318.439;0;3551.8293;3508.5144;9356.233;4193.494;6323.0093;5357.298;1462.4417;10114.351;1563.6898;4517.666;5623.989
120.080582;0;0;0;0;0;0;378.9793;0;1298.1984;3146.913;1428.1606;1240.564;3985.5974;5216.8237;1422.4401;2561.6697;947.38885;0;0;471.10425;0;0;558.68317;0;0;0;0;0;0;1142.5729;1001.3561;0;442.04718;0;650.59937;787.2535;0;599.91986;549.33966;0;0;0;0;1325.7013;499.25323;537.3552;0;912.95654;0;0;0;545.71924;0;0;0;520.0891;1283.77;1324.3356;0;1865.3441;1482.455;795.1987;0;1988.5878;779.2657;0;0;755.8968;45.854267;1118.0181;2551.7107;0;307.39597;0;0;532.00543;0;0;0;0;0;0;0;1009.2699;0;0;0;0;0;0;575.41394;0;1248.4175;0;2546.2097;0;0;1277.3025
120.9754202;0;0;0;0;0;0;0;0;0;0;0;0;492.8366;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
121.068146;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;402.0109;0;0;0;0;0;0;1030.0155;0;0;1226.6956;253.0615;2248.6157;0;851.3147;650.0067;0;1597.0964;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
122.0572768;0;0;0;0;0;0;0;0;0;1086.8875;426.71594;0;1206.8749;742.36554;494.09222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1420.9242;0;0;0;0;0;0;923.12573;0;497.1508;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;956.55536;0
122.0962461;0;0;0;0;0;0;0;0;0;237.97789;0;0;0;793.50183;0;0;0;436.39902;0;2784.0903;341.69336;0;1851.8965;0;0;0;0;0;0;358.19867;0;0;0;2700.4468;1431.722;905.847;522.6166;1179.4775;660.63617;0;1042.7208;10282.114;11434.285;12014.144;14186.585;1222.8442;3318.7947;6614.9385;1489.0138;654.2841;4718.904;3041.0098;807.67975;0;0;0;0;0;0;743.19696;337.95557;0;0;1532.6453;0;0;0;0;283.17706;0;2314.6775;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
