row ID,row m/z,row retention time,NPC#pathway,NPC#pathway Probability,NPC#superclass,NPC#superclass Probability,NPC#class,NPC#class Probability,ClassyFire#most specific class,ClassyFire#most specific class Probability,ClassyFire#level 5,ClassyFire#level 5 Probability,ClassyFire#subclass,ClassyFire#subclass Probability,ClassyFire#class,ClassyFire#class Probability,ClassyFire#superclass,ClassyFire#superclass probability,MBCe0148.mzML.Peak.area,MBCe0149.mzML.Peak.area,MBCe0150.mzML.Peak.area,MBCe0151.mzML.Peak.area,MBCe0152.mzML.Peak.area,MBCe0154.mzML.Peak.area,MBCe0155.mzML.Peak.area,MBCe0156.mzML.Peak.area,MBCe0157.mzML.Peak.area,MBCe0158.mzML.Peak.area,MBCe0159.mzML.Peak.area,MBCe0162.mzML.Peak.area,MBCe0163.mzML.Peak.area,MBCe0164.mzML.Peak.area,MBCe0165.mzML.Peak.area,MBCe0166.mzML.Peak.area,MBCe0167.mzML.Peak.area,MBCe0168.mzML.Peak.area,MBCe0169.mzML.Peak.area,MBCe0171.mzML.Peak.area,MBCe0172.mzML.Peak.area,MBCe0173.mzML.Peak.area,MBCe0174.mzML.Peak.area,MBCe0175.mzML.Peak.area,MBCe0176.mzML.Peak.area,MBCe0177.mzML.Peak.area,MBCe0178.mzML.Peak.area,MBCe0180.mzML.Peak.area,MBCe0181.mzML.Peak.area,MBCe0182.mzML.Peak.area,MBCe0183.mzML.Peak.area,MBCe0184.mzML.Peak.area,MBCe0185.mzML.Peak.area,MBCe0186.mzML.Peak.area,MBCe0191.mzML.Peak.area,MBCe0192.mzML.Peak.area,MBCe0193.mzML.Peak.area,MBCe0194.mzML.Peak.area,MBCe0195.mzML.Peak.area,MBCe0196.mzML.Peak.area,MBCe0197.mzML.Peak.area,MBCe0198.mzML.Peak.area,MBCe0199.mzML.Peak.area,MBCe0200.mzML.Peak.area,MBCe0201.mzML.Peak.area,MBCe0202.mzML.Peak.area,MBCe0203.mzML.Peak.area,MBCe0204.mzML.Peak.area,MBCe0205.mzML.Peak.area,MBCe0206.mzML.Peak.area,MBCe0207.mzML.Peak.area,MBCe0208.mzML.Peak.area,MBCe0209.mzML.Peak.area,MBCe0210.mzML.Peak.area,MBCe0211.mzML.Peak.area,MBCe0212.mzML.Peak.area,MBCe0213.mzML.Peak.area,MBCe0214.mzML.Peak.area,MBCe0215.mzML.Peak.area,MBCe0216.mzML.Peak.area,MBCe0217.mzML.Peak.area,MBCe0218.mzML.Peak.area,MBCe0219.mzML.Peak.area,MBCe0220.mzML.Peak.area,MBCe0221.mzML.Peak.area,MBCe0222.mzML.Peak.area,MBCe0223.mzML.Peak.area,MBCe0224.mzML.Peak.area,MBCe0225.mzML.Peak.area,MBCe0226.mzML.Peak.area,MBCe0227.mzML.Peak.area,MBCe0228.mzML.Peak.area,MBCe0229.mzML.Peak.area,MBCe0230.mzML.Peak.area,MBCe0231.mzML.Peak.area,MBCe0232.mzML.Peak.area,MBCe0233.mzML.Peak.area,MBCe0234.mzML.Peak.area,MBCe0235.mzML.Peak.area,MBCe0236.mzML.Peak.area,MBCe0237.mzML.Peak.area
102,268.9482354,0.95359164,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,148.71667,0,0,0,0,0,0,0,0,0,184.05103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318.69086,0,0,243.64072,0,0,0,0,0,0,0,327.60068,257.69183,266.85855,0,0,0,317.92938,241.97214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.30206,0
111,181.9883747,0.9545611,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,808.65424,426.51767,0,663.6831,257.5698,498.084,334.45938,175.29268,0,0,0,0,0,0,0,0,356.53827,0,0,202.73776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,295.968408,0.95461106,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,412.90347,181.81012,0,0,0,0,0,0,61.62373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,120.9755232,0.9569167,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.06317,0,0,0,447.7721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,254.9423607,0.9576865,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1323.3274,2401.019,1647.5237,1053.58,2323.4556,1187.1399,1903.457,1218.224,1068.0122,365.81827,417.77438,0,0,0,597.7228,0,423.8365,1764.0098,499.5242,0,693.6307,775.3976,0,380.226,338.03024,445.58734,0,223.67378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,112.9869391,0.9637334,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,352.53293,0,0,0,0,217.73158,0,0,0,0,0,0,0,0,0,0,0,0,148.24664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468.52496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429.28625,0,0,0,0,0,0,0,0,0,0,0
141,285.8953534,0.9733499,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,256.14767,1145.8866,355.65472,0,978.6743,0,0,283.30817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,157.1697807,0.9815094,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,503.79123,357.47333,333.74817,1070.0356,370.4171,547.87537,443.1237,0,0,0,0,0,664.86536,0,0,667.9719,0,166.53212,0,416.55396,0,211.42796,0,198.30847,501.75793,0,0,507.64062,507.8219,0,274.13928,569.00696,300.89728,731.08655,0,550.42566,0,531.57306,0,0,826.2992,0,0,0,0,0,0,323.3044,314.19107,375.7655,0,274.7947,0,164.90826,0,0,1489.8538,1965.1294,0,0,1450.852,0,193.8332,0,261.22528,1281.1005,0,593.67224,903.56323,0,0,0,8666.529,2040.1475,1401.1669,0,2569.9587,407.98874,1311.3242,2708.9739,296.61063
144,254.9872889,0.9852833,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345.9184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,171.1856232,0.99232775,Amino acids and Peptides,0.558377147,Small peptides,0.851469815,Aminoacids,0.879425526,Alpha amino acids and derivatives,0.745531797,Amino acids and derivatives,0.7865358,"Amino acids, peptides, and analogues",0.790948927,Carboxylic acids and derivatives,0.988809884,Organic acids and derivatives,0.981795251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,861.47534,0,0,0,270.7761,0,0,187.09615,0
152,188.1758099,1.0062749,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292.52484,0,0,0,0,0,0,0,0,0,0,0,0,256.79007,0,0,0,0,0,0,1580.5333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210.6774,0,0,0,0,0,0,0,216.36378,245.25192,0,0,0,0,0
153,226.9516502,1.0102733,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,136.74643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.12411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.686516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.81847,0,0,0,0,0,0,0,0,321.28323,0,0,0,0
156,280.0923086,1.0185417,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,612.482,0,0,0,0,0,288.366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192.40346,0,0,0,208.80673,0,0,0
158,216.9225818,1.0213462,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.0327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183.3008,0,0,0,75.71034,0,363.35913,0,212.97783,257.50827,0,0,0,305.31616,0,0,284.759,0,0,169.19698,0,0,189.87701,0,0,0,73.517136,237.81415,151.967,0
165,206.8938149,1.0328639,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,23.348242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.84891,0,0,0,97.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.508415,0,0,0,0,0,125.69768,0,0,0,0,121.66981,0,0,0,0,0,0,0,0,0,0,0,0,0
166,156.0421692,1.0361851,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,98.46535,0,0,89.02948,0,0,0,0,0,0,0,0,0,0,116.185555,0,0,0,0,0,0,0,0,0,0,0,0,0,163.6673,0,0,0,0,0,0,181.24692,0,0,316.5941,0,196.59879,0,0,0,0,0,0,0,0,281.4334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.727943,0,0,0,0,0,0,0,0,0,0
167,184.0940922,1.0379548,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.17822,261.1456,0,0,171.07301,0,117.129265,0,278.5016,0,281.4651,151.17474,0,112.53673,363.82346,240.01509,0,0,0,0,0,459.97913,0,0,0,102.50461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.00504,182.61469,0,0,0,0,0
168,200.0682049,1.0409778,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.18399,0,0,237.32675,0,0,0,102.799355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,112.8951795,1.0418937,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,222.83794,0,0,406.08948,0,0,0,0,0,0,0,0,0,115.377815,0,0,0,0,0,0,0,0,0,0,0,0,0,77.7354,0,0,90.32582,0,0,0,0,0,0,0,0,0,0,0,0,98.643166,0,0,0,98.11636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.35713,0,0,0,0,0,0,0,0,0,0,0,0
